見出し,電話,ファックス,住所,開館時間,休館日,催し名,区分,開催日,場所,対象,定員,費用,申込,備考
県立近代美術館,073-436-8690　,073-436-1337 ,〒640-8137　和歌山市吹上1-4-14,9:30～17:00（入館は16:30まで）,休館／月曜（祝日の場合次の平日）, 明治150年記念「水彩画家・木下藤次郎」展,展示,2月10日（土）～3月25日（日）,,,,,,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立近代美術館,073-436-8690　,073-436-1337 ,〒640-8137　和歌山市吹上1-4-14,9:30～17:00（入館は16:30まで）,休館／月曜（祝日の場合次の平日）,コレクション展2018-冬春 特集「はじまりの景色」,展示,～4月15日（日）,,,,,,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立博物館,073-436-8671　,073-423-2468,〒640-8137　和歌山市吹上1-4-15,9:30～17:00（入館は16:30まで）,休館／月曜（祝日の場合次の平日）, 企画展「ふるさとからのおくりもの　新収蔵品展」,展示,～3月4日（日）,,,,,,66歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立紀伊風土記の丘,073-471-6123　,073-471-6120 ,〒640-8301　和歌山市岩橋1411,9:00～16:30（入館は16:00まで）,休館／月曜（祝日の場合次の平日）, 冬期企画展「うつわに隠された物語－装飾付須恵器の世界－」,展示,～3月4日（日）,,,,,,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立自然博物館,073-483-1777　,073-483-2721,〒642-0001　海南市船尾370-1,9:30～17:00（入館は16:30まで）,休館／月曜（祝日の場合次の平日）,巨大アンモナイトをさがせ!!,イベント,3月4日（日）13:00～16:00,栖原（湯浅町）,小学生以上（小学生は保護者同伴）,100人（抽選）,,2月18日まで,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立自然博物館,073-483-1777　,073-483-2721,〒642-0001　海南市船尾370-1,9:30～17:00（入館は16:30まで）,休館／月曜（祝日の場合次の平日）,恐竜をさがせ!!,イベント,3月18日（日）10:00～13:00,白木海岸（広川町）,小学生以上（小学生は保護者同伴）,100人（抽選）,,3月4日まで,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立図書館,073-436-9500　,073-436-9501,〒641-0051　和歌山市西高松1-7-38,閲覧室　平日10:00～19:00（土日祝は18:00まで）,休館／月曜（祝日の場合は次の平日）、毎月第2木曜,ボランティアによる「おはなし会」,イベント,2月17・24日（土）、3月10日（土）14:00～、3月3日（土）11:00～,,,,,,入場無料
県立図書館,073-436-9500　,073-436-9501,〒641-0051　和歌山市西高松1-7-38,閲覧室　平日10:00～19:00（土日祝は18:00まで）,休館／月曜（祝日の場合は次の平日）、毎月第2木曜,エントランスコンサート,イベント,3月2日（金）12:00～12:30,,,100人程度（先着順）,,,入場無料
片男波公園万葉館,073-446-5553　,073-446-5554,〒641-0022　 和歌山市和歌浦南3-1700,9:00～17:00 （入館は16:30まで）,,体験教室　「手芸～なつかしい行楽弁当作り」,イベント,2月12日（振休）13:00～15:00,,小学生以上 (小学生は保護者同伴),20人（先着順）,"1,500円",事前申込,入場無料
片男波公園万葉館,073-446-5553　,073-446-5554,〒641-0022　 和歌山市和歌浦南3-1700,9:00～17:00 （入館は16:30まで）,,古典学習セミナー 「源氏物語を楽しむ～玉鬘とその周辺の人々(全3回)」,イベント,(1)3月4日(2)11日(3)18日いずれも日曜 14:00～15:30,,小学生以上 (小学生は保護者同伴) ,各20人（先着順）,各200円,事前申込,入場無料
県植物公園緑花センター,0736-62-4029　,0736-63-2570 ,〒649-6211　岩出市東坂本672,9:00～17:00（入館は16:30まで）,休館／火曜（祝日の場合次の平日）,早春の洋ラン展,展示,2月10日（土）～12日（振休）,,,,,,入場無料
県植物公園緑花センター,0736-62-4029　,0736-63-2570 ,〒649-6211　岩出市東坂本672,9:00～17:00（入館は16:30まで）,休館／火曜（祝日の場合次の平日）,洋ランの育て方教室,イベント,2月11日（祝）13:30～16:00,,,36人（先着順）,300円,事前申込,入場無料
県植物公園緑花センター,0736-62-4029　,0736-63-2570 ,〒649-6211　岩出市東坂本672,9:00～17:00（入館は16:30まで）,休館／火曜（祝日の場合次の平日）,3月の寄せ植え教室,イベント,3月11日（日）13:30～15:00,,,40人（先着順）,"1,800円",事前申込,入場無料
県動物愛護センター,073-489-6500　,073-489-6504 ,〒640-1251　紀美野町国木原372,10:00～17:00　,休館／火曜,犬・猫の飼い方講習会及び譲渡会,,(1)2月18日（日）・25日（日）、 3月1日（木）・11日（日）・25日（日）11:00～(2)2月9日（金）11:00～(3)2月22日（木）11:00～,(1)県動物愛護センター(2)御坊保健所(3)新宮保健所串本支所（串本町）,,,"譲渡を受けるには受講と、犬については狂犬病予防注射代2,640円が必要です。",,入場無料
県動物愛護センター,073-489-6500　,073-489-6504 ,〒640-1251　紀美野町国木原372,10:00～17:00　,休館／火曜,動物の譲渡・ミルク・一時預かりボランティア募集説明会,,(1)3月5日（月）(2)7日（水）(3)12日（月）(4)15日（木） (5)17日（土）いずれも13:30～14:30,(1)湯浅保健所(2)西牟婁振興局（田辺市）(3)橋本保健所(4)東牟婁振興局（新宮市） (5)県動物愛護センター,,,,申込不要,入場無料
